# xoscope, version 1.5, 640x480
#
# -a 1
# -r 44100
# -s 1/1
# -t 0:0:x
# -c 4
# -d 4
# -m 0
# -p 2
# -g 0
# -z
# -1 0:1/1:x
# -2 0:1/1:y
# -3 -160:1/1:6
# -4 -160:1/1:7
# -5 0:1/1:4
# -6 0:1/1:3
# -7 +0:1/1:0
# -8 +144:1/1:0
# a(02)	b(03)	c(14)	d(06)	e(05)	f(01)
#:44100	44100	44100	44100	44100	44100
0	-1	16	16	1	-1
-4	-5	0	0	1	-9
-7	-7	0	16	0	-14
-6	-6	0	16	0	-12
-3	-5	16	0	2	-8
-1	-5	16	0	4	-6
-1	-7	16	0	6	-8
-4	-10	22	22	6	-14
-7	-12	22	22	5	-19
-10	-15	0	16	5	-25
-11	-14	0	16	3	-25
-10	-11	16	0	1	-21
-10	-9	16	0	-1	-19
-13	-9	0	16	-4	-22
-17	-11	16	16	-6	-28
-19	-12	16	16	-7	-31
-16	-9	16	16	-7	-25
-12	-6	16	16	-6	-18
-13	-8	0	16	-5	-21
-18	-13	0	16	-5	-31
-22	-17	0	16	-5	-39
-20	-15	16	0	-5	-35
-14	-10	16	0	-4	-24
-8	-4	16	16	-4	-12
-7	-3	16	16	-4	-10
-10	-6	16	16	-4	-16
-11	-8	0	0	-3	-19
-8	-4	0	0	-4	-12
-3	1	0	16	-4	-2
1	4	0	16	-3	5
4	6	16	0	-2	10
4	5	16	0	-1	9
2	2	0	0	0	4
0	-1	16	16	1	-1
-2	-3	16	16	1	-5
-5	-6	16	22	1	-11
-9	-10	16	22	1	-19
-9	-8	16	16	-1	-17
-4	-1	16	16	-3	-5
0	3	16	16	-3	3
-1	5	0	0	-6	4
-4	4	0	0	-8	0
-6	3	16	16	-9	-3
-6	3	16	16	-9	-3
-4	5	0	16	-9	1
-3	6	0	0	-9	3
-4	6	0	0	-10	2
-7	5	0	0	-12	-2
-9	4	0	0	-13	-5
-8	4	0	0	-12	-4
-6	5	0	22	-11	-1
-5	5	0	22	-10	0
-8	2	16	0	-10	-6
-11	-1	16	0	-10	-12
-11	-1	16	0	-10	-12
-8	2	16	0	-10	-6
-6	2	0	0	-8	-4
-6	1	0	0	-7	-5
-5	3	0	0	-8	-2
-3	6	0	16	-9	3
0	10	0	16	-10	10
4	13	0	0	-9	17
8	14	0	0	-6	22
9	13	0	0	-4	22
8	11	16	16	-3	19
7	10	16	16	-3	17
6	9	0	0	-3	15
4	6	0	0	-2	10
3	2	16	16	1	5
4	2	0	16	2	6
6	3	0	16	3	9
5	3	16	16	2	8
1	-1	16	16	2	0
-3	-6	16	16	3	-9
-4	-6	16	16	2	-10
-3	-5	16	16	2	-8
-2	-6	0	16	4	-8
1	-4	0	16	5	-3
5	0	22	0	5	5
7	3	22	0	4	10
7	3	0	0	4	10
6	3	16	16	3	9
7	5	16	16	2	12
10	10	0	0	0	20
14	14	0	0	0	28
15	17	0	0	-2	32
17	21	0	0	-4	38
19	22	16	0	-3	41
18	20	0	0	-2	38
15	14	0	0	1	29
11	8	0	0	3	19
8	3	0	0	5	11
8	2	0	0	6	10
16	10	0	16	6	26
23	16	0	16	7	39
23	13	0	0	10	36
16	5	0	0	11	21
11	0	22	0	11	11
10	0	22	0	10	10
12	1	0	0	11	13
13	1	0	0	12	14
11	-3	0	0	14	8
3	-12	0	0	15	-9
-5	-21	0	0	16	-26
-8	-24	0	16	16	-32
-5	-20	16	0	15	-25
1	-13	16	0	14	-12
4	-10	0	16	14	-6
1	-12	0	16	13	-11
-4	-17	0	0	13	-21
-8	-20	0	0	12	-28
-9	-19	16	0	10	-28
-5	-14	0	16	9	-19
0	-8	0	16	8	-8
-1	-8	0	16	7	-9
-3	-9	0	16	6	-12
-4	-10	0	0	6	-14
-5	-10	16	0	5	-15
-4	-8	16	0	4	-12
-3	-5	0	0	2	-8
-1	-2	0	0	1	-3
-1	-2	0	16	1	-3
-6	-7	0	16	1	-13
-10	-11	0	22	1	-21
-11	-10	16	16	-1	-21
-10	-5	16	16	-5	-15
-6	1	16	0	-7	-5
0	9	16	0	-9	9
1	10	16	16	-9	11
-4	6	0	22	-10	2
-5	5	0	22	-10	0
-3	8	0	0	-11	5
1	11	0	0	-10	12
2	11	0	0	-9	13
2	10	0	0	-8	12
0	8	16	16	-8	8
-2	6	16	0	-8	4
-1	7	16	0	-8	6
4	12	16	0	-8	16
10	15	0	0	-5	25
12	17	0	0	-5	29
10	15	0	0	-5	25
6	11	0	0	-5	17
2	7	0	0	-5	9
1	6	0	0	-5	7
4	7	0	0	-3	11
4	8	0	0	-4	12
4	8	0	0	-4	12
3	8	0	0	-5	11
2	7	0	0	-5	9
3	7	0	0	-4	10
7	11	0	0	-4	18
11	15	0	0	-4	26
12	16	0	0	-4	28
12	16	0	0	-4	28
13	18	0	0	-5	31
16	22	0	0	-6	38
20	28	0	0	-8	48
23	31	0	0	-8	54
24	31	0	0	-7	55
24	29	0	0	-5	53
22	27	0	0	-5	49
21	25	0	0	-4	46
20	23	0	0	-3	43
17	21	0	0	-4	38
17	19	0	0	-2	36
20	19	0	0	1	39
22	21	0	0	1	43
22	19	0	0	3	41
18	15	0	0	3	33
15	11	0	0	4	26
15	8	0	0	7	23
18	6	0	0	12	24
19	4	0	0	15	23
19	3	0	0	16	22
18	2	0	0	16	20
17	0	0	0	17	17
17	-2	0	0	19	15
17	-3	0	0	20	14
19	-3	0	0	22	16
19	-2	0	0	21	17
16	-5	0	0	21	11
12	-8	0	0	20	4
12	-8	0	0	20	4
14	-5	0	0	19	9
15	-3	0	0	18	12
14	-3	0	0	17	11
14	-1	0	0	15	13
15	1	0	0	14	16
18	4	0	0	14	22
19	5	0	0	14	24
17	5	0	0	12	22
16	5	0	0	11	21
17	6	0	0	11	23
19	9	0	0	10	28
20	11	0	0	9	31
19	10	0	0	9	29
15	7	0	0	8	22
12	5	0	0	7	17
11	7	0	0	4	18
12	11	0	0	1	23
12	13	0	0	-1	25
10	14	0	0	-4	24
7	14	0	0	-7	21
5	13	0	0	-8	18
5	14	0	0	-9	19
8	15	0	0	-7	23
11	18	0	0	-7	29
14	20	0	0	-6	34
14	20	0	0	-6	34
13	18	0	0	-5	31
12	17	0	0	-5	29
13	19	0	0	-6	32
14	20	0	0	-6	34
15	22	0	0	-7	37
18	25	0	0	-7	43
19	25	0	0	-6	44
19	24	0	0	-5	43
17	23	0	0	-6	40
17	21	0	0	-4	38
17	19	0	0	-2	36
17	19	0	0	-2	36
16	18	0	0	-2	34
14	18	0	0	-4	32
13	19	0	0	-6	32
15	22	0	0	-7	37
16	24	0	0	-8	40
15	24	0	0	-9	39
13	22	0	0	-9	35
10	21	0	0	-11	31
10	22	0	0	-12	32
9	23	0	0	-14	32
8	21	0	0	-13	29
8	20	0	0	-12	28
10	22	0	0	-12	32
9	22	0	0	-13	31
9	23	0	0	-14	32
13	27	0	0	-14	40
18	32	0	0	-14	50
20	34	0	0	-14	54
19	31	0	0	-12	50
19	29	0	0	-10	48
20	30	0	0	-10	50
21	29	0	0	-8	50
17	24	0	0	-7	41
12	17	0	0	-5	29
10	13	0	0	-3	23
11	14	0	0	-3	25
14	16	0	0	-2	30
16	17	0	0	-1	33
13	13	0	0	0	26
7	6	0	0	1	13
1	-1	0	0	2	0
-2	-4	0	0	2	-6
1	-2	0	0	3	-1
8	4	0	0	4	12
8	4	0	0	4	12
2	-4	0	0	6	-2
-5	-10	0	0	5	-15
-6	-10	0	0	4	-16
-1	-4	0	0	3	-5
4	1	0	0	3	5
5	2	0	0	3	7
0	-2	0	0	2	-2
-7	-10	0	0	3	-17
-14	-17	0	0	3	-31
-16	-18	0	0	2	-34
-13	-16	0	0	3	-29
-11	-15	0	0	4	-26
-14	-19	0	0	5	-33
-24	-29	0	0	5	-53
-31	-36	0	0	5	-67
-32	-36	0	0	4	-68
-29	-32	0	0	3	-61
-25	-26	0	0	1	-51
-22	-22	0	0	0	-44
-22	-23	0	0	1	-45
-23	-25	0	0	2	-48
-22	-24	0	0	2	-46
-18	-20	0	0	2	-38
-16	-18	0	0	2	-34
-15	-18	0	0	3	-33
-14	-17	0	0	3	-31
-13	-17	0	0	4	-30
-17	-19	0	0	2	-36
-20	-21	0	0	1	-41
-19	-20	0	0	1	-39
-15	-15	0	0	0	-30
-8	-7	0	0	-1	-15
-4	-3	0	0	-1	-7
-6	-6	0	0	0	-12
-12	-12	0	0	0	-24
-15	-15	0	0	0	-30
-11	-11	0	0	0	-22
-4	-2	0	0	-2	-6
2	5	0	0	-3	7
0	4	0	0	-4	4
-6	1	0	0	-7	-5
-12	-4	0	0	-8	-16
-15	-7	0	0	-8	-22
-14	-4	0	0	-10	-18
-9	2	0	0	-11	-7
